City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Gela,IT,2020-12-26 13:59:44,37.08,14.23,53.6,81,75,6.93
249,Bethel,US,2020-12-26 13:59:45,41.37,-73.41,23.0,70,33,1.99
250,Weinan,CN,2020-12-26 13:59:45,34.5,109.51,44.01,74,90,4.47
251,Pisco,PE,2020-12-26 13:59:45,-13.7,-76.22,70.0,83,0,4.7
252,Hambantota,LK,2020-12-26 13:59:45,6.12,81.12,82.4,78,75,2.24
253,Jaynagar,IN,2020-12-26 13:57:02,26.58,86.15,60.57,33,0,3.29
254,Talara,PE,2020-12-26 13:59:46,-4.58,-81.27,69.8,77,0,16.11
255,Nyurba,RU,2020-12-26 13:59:46,63.28,118.33,-29.07,84,98,3.78
256,Krasnoselkup,RU,2020-12-26 13:59:47,65.7,82.47,-34.26,81,0,6.33
257,Buta,CD,2020-12-26 13:59:47,2.79,24.73,86.04,52,100,3.11
258,Samarai,PG,2020-12-26 13:59:47,-10.62,150.67,83.91,74,99,9.86
259,Luanda,AO,2020-12-26 13:57:38,-8.84,13.23,84.2,70,40,10.29
260,Visby,SE,2020-12-26 13:59:47,57.64,18.3,33.8,86,75,8.05
261,Torbay,CA,2020-12-26 13:59:48,47.67,-52.73,41.0,86,20,20.8
262,Ambilobe,MG,2020-12-26 13:59:48,-13.2,49.05,83.08,74,100,10.78
263,Soyaux,FR,2020-12-26 13:59:48,45.65,0.2,41.0,80,90,5.82
264,Codrington,AU,2020-12-26 13:59:48,-38.27,141.97,64.67,57,100,4.99
265,Makakilo City,US,2020-12-26 13:59:49,21.35,-158.09,73.4,88,75,13.58
266,Lazaro Cardenas,MX,2020-12-26 13:59:49,17.96,-102.2,71.96,86,23,4.74
267,Haimen,CN,2020-12-26 13:57:23,23.19,116.61,62.6,77,0,4.47
268,Ceglie Messapica,IT,2020-12-26 13:59:49,40.64,17.52,53.01,83,100,1.01
269,Lata,PT,2020-12-26 13:59:49,40.16,-8.33,55.0,44,0,2.24
270,Flinders,AU,2020-12-26 13:59:50,-34.58,150.86,68.0,1,84,3.0
271,Ossora,RU,2020-12-26 13:59:50,59.24,163.07,7.77,94,100,9.62
272,Juneau,US,2020-12-26 13:56:01,58.3,-134.42,36.0,93,90,5.75
273,Olinda,BR,2020-12-26 13:59:50,-8.01,-34.86,82.4,54,75,10.29
274,Taoudenni,ML,2020-12-26 13:59:51,22.68,-3.98,84.56,14,12,2.77
275,Mbanza-Ngungu,CD,2020-12-26 13:59:51,-5.25,14.87,80.13,83,100,5.48
276,Itacoatiara,BR,2020-12-26 13:57:52,-3.14,-58.44,77.58,88,99,3.09
277,Yulara,AU,2020-12-26 13:59:51,-25.24,130.99,84.2,17,0,6.93
278,Batemans Bay,AU,2020-12-26 13:59:52,-35.72,150.18,64.0,88,41,5.19
279,Whitehorse,CA,2020-12-26 13:59:52,60.72,-135.05,12.2,92,75,18.34
280,Najran,SA,2020-12-26 13:55:11,17.49,44.13,71.6,33,0,9.17
281,Micula,RO,2020-12-26 13:59:52,47.9,22.95,39.0,69,0,11.41
282,Jumla,NP,2020-12-26 13:59:52,29.27,82.18,39.58,56,77,4.76
283,Esil,KZ,2020-12-26 13:59:53,51.96,66.4,-2.87,90,32,6.87
284,Veraval,IN,2020-12-26 13:59:53,20.9,70.37,74.89,68,59,9.57
285,Soluno-Dmitriyevskoye,RU,2020-12-26 13:59:53,44.4,42.73,26.6,92,16,4.47
286,Qinnan,CN,2020-12-26 13:59:53,33.25,119.91,47.93,81,100,5.48
287,Prainha,BR,2020-12-26 13:59:54,-1.8,-53.48,84.29,61,94,5.1
288,Chute-Aux-Outardes,CA,2020-12-26 13:59:54,49.12,-68.4,33.8,88,90,21.92
289,New Glasgow,CA,2020-12-26 13:59:54,45.58,-62.65,55.4,76,100,32.21
290,Verkhnyaya Inta,RU,2020-12-26 13:59:54,65.98,60.31,-12.3,80,37,18.95
291,Semnan,IR,2020-12-26 13:59:54,35.57,53.4,35.4,73,0,0.92
292,Paamiut,GL,2020-12-26 13:59:55,61.99,-49.67,20.26,79,51,18.05
293,Sydney Mines,CA,2020-12-26 13:59:55,46.24,-60.22,54.0,87,75,27.51
294,Graaff-Reinet,ZA,2020-12-26 13:59:55,-32.25,24.53,97.0,26,0,1.99
295,Inongo,CD,2020-12-26 13:59:55,-1.95,18.27,82.42,62,27,2.06
296,Kailua,US,2020-12-26 13:59:20,21.4,-157.74,73.4,80,75,9.17
297,Rio Grande,BR,2020-12-26 13:56:43,-32.03,-52.1,79.0,69,75,20.8
298,Tayu,ID,2020-12-26 13:59:56,-6.54,111.05,79.23,80,77,3.76
299,Rocha,UY,2020-12-26 13:58:26,-34.48,-54.33,79.68,48,87,13.56
300,Chateaubelair,VC,2020-12-26 13:59:56,13.28,-61.25,80.6,78,40,8.05
301,Bom Jesus,BR,2020-12-26 13:59:57,-9.07,-44.36,88.02,48,100,8.5
302,Odweyne,SO,2020-12-26 13:59:57,9.41,45.06,70.77,34,0,21.0
